Gene,Genbank,Uniprot,PDB
ARCA,1790863,P0A9Q1,"1XHF, 1XHE"
FUR,1786899,P0A9A9,2FU4
NARL,1787473,P0AF28,"1ZG1,1A04,1JE8,1ZG5"
LRP,1787116,P0ACJ0,"2L4A,2GQQ
"
FLHD,1788202,P0A8S9,"1G8E,2AVU"
FLHC,1788201,P0ABY7,2AVU
CRA,1786268,P0ACP1,2IKS
PHOB,1786599,P0AFJ5,"2JBA,2Z33,1QQI,1GXQ,2IYN,1GXP,3T72"
LEXA,1790476,P0A7C2,"3JSO,3JSP,3K3R"
PHOP,1787375,P23836,"2PL1,2PKX"
MODE,1786976,P0A9G8,"1H9S,1O7L,1B9N,1B9M,1H9R"
ARGR,1789633,P0A6D0,"1XXB,1XXA"
OXYR,1790399,P0ACQ4,"1I6A,1I69"
ISCR,1788880,P0AGK8,"4HF0,4HF1"
PURR,1787948,P0ACP7,"1JH9,1JHZ,1PNR,1QP0,1ZAY,2PUA,2PUC,1JFT,1DBQ"
ROB,1790857,P0ACI0,1D5Y
EVGA,1788712,P0ACZ4,3F6C
RUTR,1787249,P0ACU2,"4JYK,3LOC"
OMPR,1789809,P0AA16,"2JPB,1CMC"
CYTR,1790369,P0ACN7,2LCV
DNAA,2367267,P03004,"1J1V,2E0G"
TYRR,1787583,P07604,2JHE
TRPR,1790854,P0A881,"1TRR,1WRP,1CO0,1ZT9,2OZ9,1TRO,1RCS,1MI7"
TORR,1787229,P38684,1ZGZ
ARAC,1786251,P0A9E0,"2ARC,2K9S,2AAC"
MLC,1787878,P50456,"3BP8,1Z6R"
YIAJ,1789999,P37671,1YSQ
MALT,2367223,P06993,1HZ4
RseB,1788924,P0AFX9,"2V43,2P4B,2V42"
baer,1788394,P69228,4B09
ascg,1789068,P24242,"3DBI,3BRQ"
iclr,1790449,P16528,"2O9A,1TD5,2O99"
lepA,1788922,P60785,"3DEG,3CB4"
rbfA,1789558,P0A7G2,1KKG
rseA,1788925,P0AFX7,"3M4W, 1OR7"
rseP,1786373,P0AEH1,"3ID2, 3ID4, 2ZPL, 2ZPM, 3ID1"
cpxP,48994991,P0AE85,"3QZC,3ITF"
rpsQ,1789707,P0AG63,"4V9C,4V9D,4V9O,1EG0,4V47,4V48,4V4H,4V4Q,4V4V,4V50,4V54,4V6M,4V85"
prpr,1786524,P77743,2PJU
cadc,1790576,P23890,"3LYA, 3LY8, 3LY7"
acrR,1786669,P0ACS9,2QOP
arcB,48994928,P0AEC3,"1BDJ,1FR0"
otsA,1788206,P31677,"2WTX,1UQU,1GZ5,1UQT"
slt,1790853,P0AGC3,"1QTE, 1QTE"
bioA,1786991,P12995,"1DTY,1QJ5,1MLY,1MLZ,1QJ3"
ribA,1787533,P0A7I7,"2BZ1,2BZ0"
ribB,1789420,P0A7J0,"1IEZ,1G58,1G57"
rpsA,1787140,P0AG67,"2KHJ,2BH8,2KHI"
rpsG,1789739,P02359,"4V9C,4V9O,1EG0,1ML5,4V4Q,4V4V,4V50,4V5B,4V5H,4V66,4V69,4V6C,4V7I"
efp,1790590,P0A6N4,3A5Z
ettA,2367384,P0A9W3,"4FIN,3J5S"
frr,1786368,P0A805,"1ZN0,2RDO,4V9C,1EK8,1ZN1"
fusA,1789738,P0A6M8,"4V9O,3J0E,2RDO,4V7D,"
hipA,1787785,P23874,"2WIU,3HZI,3TPD,3TPV,3DNT,3DNU,3DNV,3FBR"
infC,1788012,P0A707,
prfA,1787462,P0A7I0,2B3T
prfB,2367172,P07012,"1ML5,1GQE,1MI6"
prfC,1790835,P0A7I4,"4V89,4V8O,2O0F,2H5E,4V85"
rplA,1790416,P0A7L0,"4V5H,4V69,4V6L,4V6M,4V6N,1ML5,3J46,4V74,4V75,4V7A,4V7I,4CSU,4V4W
"
rplJ,1790417,P0A7J3,"4V6R,4V7B,4V6O,4V6N,4V7D,3J7Z,4V85,4V89,4V9O,4V6Q,4V6P"
selB,2367247,P14081,2PJP
tilS,1786386,P52097,1NI5
tsf,1786366,P0A6P1,"4Q7J,1EFU,3MMP"
tufA,1789737,P0CE47,"2HCJ,1EFC,1D8T,2HDN,3EP2,3EQ3,3EQ4,3U2Q,3U6B,3U6K,4G5G,4Q7J,2FX3,1MJ1"
tufB,1790412,P0CE48,"1DG1,1OB2,2BVN,4V69,3MMP,1LS21EFU,1QZD"
mazF,1789145,P0AE70,"3NFC,1UB4"
thrS,1788013,P0A8M3,"1EVL,1EVK,1TKE,1TKG,4HWO,4HWP,4HWR,4HWS,1FYF,1QF6,1KOG,1TJE"
fucO,1789163,,"2BL4,2BI4,1RRM"
murC,1786279,,"2F00,1CC9"
metH,1790450,,"3BUL,3IV9,3IVA,1BMT,1K7Y,1K98"
acrA,1786668,,2F1M
hflD,1787377,,"1SDI,1QZ4"
gadC,1787768,,"4DJK,4DJI"
zwf,1788158,,"3FWN,2ZYD,2ZYA"
icd,1787381,,1HJ6
pntB,1787886,,2BRU
YqhD,1789386,,1OJ7
gyrA,1788562,,"3NUH,4ELY,2Y3P,1X75,1ZI0"
deoA,1790842,,"4EAD,4EAF,1AZY"
rcsD,1788545,,"2KX7,1SR2"
ybiU,1787042,,"2DBI,2DBN"
gadA,1789934,,1XEY
adiA,1790558,,2VYC
AdiC,2367353,,3OB6
pheA,1788951,,1ECM
serA,1789279,,"2P9E,2P9G,2PA3,2P9C,1PSD,1SC6,1YBA"
TrmE,2367268,,"2GJA,2GJ9,1RFL,2GJ8"
